username,anime_id,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_rewatching,my_rewatching_ep,my_last_updated,my_tags
karthiga,21,586,0000-00-00,0000-00-00,9,1,,0,2013-03-03 10:52:53,
karthiga,59,26,0000-00-00,0000-00-00,7,2,,0,2013-03-10 13:54:51,
karthiga,74,26,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:43:35,
karthiga,120,26,0000-00-00,0000-00-00,7,2,,0,2013-03-03 10:53:57,
karthiga,178,26,0000-00-00,0000-00-00,7,2,0.0,0,2013-03-27 15:59:13,
karthiga,210,161,0000-00-00,0000-00-00,7,2,,0,2013-03-10 13:57:06,
karthiga,232,70,0000-00-00,0000-00-00,6,2,,0,2013-03-09 17:24:42,
karthiga,233,78,0000-00-00,0000-00-00,6,2,,0,2013-03-10 05:29:44,
karthiga,249,167,0000-00-00,0000-00-00,8,2,,0,2013-03-19 16:04:46,
karthiga,269,366,0000-00-00,0000-00-00,10,2,,0,2013-03-03 09:39:23,
karthiga,721,38,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:23:53,
karthiga,853,26,0000-00-00,0000-00-00,7,2,,0,2013-03-10 13:57:27,
karthiga,857,25,0000-00-00,0000-00-00,10,2,0.0,0,2013-03-03 13:19:55,
karthiga,957,39,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:34:18,
karthiga,966,506,0000-00-00,0000-00-00,10,1,,0,2013-03-10 14:29:59,
karthiga,1557,26,0000-00-00,0000-00-00,8,2,,0,2013-05-05 14:38:12,
karthiga,1571,25,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:31:37,
karthiga,1579,25,0000-00-00,0000-00-00,9,2,,0,2013-04-27 16:44:33,
karthiga,1698,23,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:14:27,
karthiga,1735,303,0000-00-00,0000-00-00,9,1,,0,2013-03-10 13:37:49,
karthiga,1914,39,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:24:54,
karthiga,1974,51,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:22:04,
karthiga,2104,26,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:32:21,
karthiga,2564,12,0000-00-00,0000-00-00,5,2,,0,2013-03-10 14:19:47,
karthiga,2787,24,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:41:10,
karthiga,3092,12,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:21:39,
karthiga,3731,25,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:45:25,
karthiga,4224,25,0000-00-00,0000-00-00,6,2,,0,2013-04-01 16:15:23,
karthiga,4477,11,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:21:21,
karthiga,4722,25,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:19:45,
karthiga,4814,12,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:18:59,
